	Catalog Name	Course Name	Department
0	ANTH 10100	Introduction to Anthropology	ANTH
1	ANTH 10107	Nature and Technology in the Capitalist Mode of Production	ANTH
2	ANTH 12800	Formations of Indigeneity	ANTH
3	ANTH 20006	Embodiment and the Senses	ANTH
4	ANTH 20537	The Global Black Panther Party	ANTH
5	ANTH 20700	Global Health, Environment, and Indigenous Futures	ANTH
6	ANTH 20701-20702-20703	Introduction to African Civilization I-II-III	ANTH
7	ANTH 20701	Introduction to African Civilization I	ANTH
8	ANTH 20702	Introduction to African Civilization II	ANTH
9	ANTH 20703	Introduction to African Civilization III	ANTH
10	ANTH 21107	Anthropological Theory	ANTH
11	ANTH 21201	Chicago Blues	ANTH
12	ANTH 21303	Making the Natural World: Foundations of Human Ecology	ANTH
13	ANTH 21306	Explorations in Oral Narrative	ANTH
14	ANTH 21405	Neoliberalism, Self and Society	ANTH
15	ANTH 21420	Ethnographic Methods	ANTH
16	ANTH 21424	Reading and Writing Ethnographically	ANTH
17	ANTH 21426	More than Human Ethnography	ANTH
18	ANTH 21740	Ecology and Governance in Israel and the Middle East	ANTH
19	ANTH 22111	Black Death	ANTH
20	ANTH 22131	The Science, History, Policy, and Future of Water	ANTH
21	ANTH 22165	Politics of Technoscience in Africa	ANTH
22	ANTH 22202	Anthropology of Caste	ANTH
23	ANTH 22367	Landscapes: More than Humans Living on a Damaged Planet	ANTH
24	ANTH 22415	Technology and the Human	ANTH
25	ANTH 22450	Language, Gender, and Sexuality	ANTH
26	ANTH 22531	Visual Anthropology: An Introduction to Ethnography as Film	ANTH
27	ANTH 22547	Violence: Vigilantism, Community Defense, and Armed Resistance	ANTH
28	ANTH 22625	Indigenous Movements in Latin America	ANTH
29	ANTH 22710	Signs and the State	ANTH
30	ANTH 22712	Socialisms in Asia	ANTH
31	ANTH 22727	Captivity	ANTH
32	ANTH 22733	Marxism, Anarchism, and the Black Radical Tradition	ANTH
33	ANTH 22750	Theoretical Approaches to Political Anthropology: Sovereignty, Authority, and Refusal	ANTH
34	ANTH 22755	The Idea of Africa	ANTH
35	ANTH 22765	Ethnographic Approaches to Power and Resistance	ANTH
36	ANTH 22770	Anthropology of Power, Status, and Performance	ANTH
37	ANTH 22826	The Anthropology of Commodities and Consumption	ANTH
38	ANTH 22830	Indigenous Media and the Politics of Representation	ANTH
39	ANTH 22845	Xenophobia and the Politics of Belonging	ANTH
40	ANTH 23003	Greater Latin America	ANTH
41	ANTH 23077	Indigenous Politics in Latin America	ANTH
42	ANTH 23094	Development and Environment in Latin America	ANTH
43	ANTH 23101-23102-23103	Introduction to Latin American Civilization I-II-III	ANTH
44	ANTH 23101	Introduction to Latin American Civilization I	ANTH
45	ANTH 23102	Introduction to Latin American Civilization II	ANTH
46	ANTH 23103	Introduction to Latin American Civilization III	ANTH
47	ANTH 23335	Racial France	ANTH
48	ANTH 23405	War: What's It Good For?  100 Units	ANTH
49	ANTH 23501	New Perspectives on Language Emergence	ANTH
50	ANTH 23510	Ethics of Ethnographic Encounter	ANTH
51	ANTH 23608	Introduction to Asian American Studies	ANTH
52	ANTH 23616	Central Asia Past and Present/From Alexander the Great to Al Qaeda	ANTH
53	ANTH 23700	Capitalism, Colonialism, and Nationalism in the Pacific	ANTH
54	ANTH 23803	Magical Politics	ANTH
55	ANTH 23809	Visualization and Biology: Science, Culture, and Representation	ANTH
56	ANTH 23816	Farms as Factories: Industrial Ideals in 'Modern' Agriculture	ANTH
57	ANTH 23825	Social Theory of the City	ANTH
58	ANTH 23906	Magic, Science, and Religion	ANTH
59	ANTH 23908	"Religion and its ""Other"": Secular and Post-Secular Formations"	ANTH
60	ANTH 23910	Holocaust Object	ANTH
61	ANTH 23911	Anthropology of Religion	ANTH
62	ANTH 23914	Whom am I to Judge? Relativism and Religious Difference	ANTH
63	ANTH 23915	Religion, Reason, and the State	ANTH
64	ANTH 23916	Race and Religion: Theorizing Blackness and Jewishness	ANTH
65	ANTH 23920	Gaming Religion	ANTH
66	ANTH 24001-24002-24003	Colonizations I-II-III	ANTH
67	ANTH 24001	Colonizations I: Colonialism, Enslavement and Resistance in the Atlantic World	ANTH
68	ANTH 24002	Colonizations II: Imperial Expansion, Anti-Imperialism, and Nation in Asia	ANTH
69	ANTH 24003	Colonizations III: Decolonization, Revolution, Freedom	ANTH
70	ANTH 24101-24102	Introduction to the Civilizations of South Asia I-II	ANTH
71	ANTH 24101	Introduction to the Civilizations of South Asia I	ANTH
72	ANTH 24102	Introduction to the Civilizations of South Asia II	ANTH
73	ANTH 24110	Jews, Arabs, and Others: Nations from the Nile to the Jordan	ANTH
74	ANTH 24125	Technology and Human Rights	ANTH
75	ANTH 24304	Talking With Animals	ANTH
76	ANTH 24314	Meaning and the Body	ANTH
77	ANTH 24316	Thinking Psychoanalytically: From the Sciences to the Arts	ANTH
78	ANTH 24320	Cultural Psychology	ANTH
79	ANTH 24321	Psychological Anthropology	ANTH
80	ANTH 24349	Human Rights and Postcolonial Politics	ANTH
81	ANTH 24501	Language and Environment	ANTH
82	ANTH 24510	Anthropology of Museums	ANTH
83	ANTH 24702	Un/Making Citizenship: The Politics of the Intimate	ANTH
84	ANTH 24711	The Prophet Q	ANTH
85	ANTH 24730	Religious Violence	ANTH
86	ANTH 25208	Bodies, Gifts, and Commodities	ANTH
87	ANTH 25211	Feminism and Anthropology	ANTH
88	ANTH 25214	(Re)Producing Race and Gender through American Material Culture	ANTH
89	ANTH 25215	Human Rights:  An Anthropological Perspective	ANTH
90	ANTH 25216	Gender, Sex, and Culture	ANTH
91	ANTH 25222	Sex and the Ethnographic Tradition	ANTH
92	ANTH 25256	Anthropology of Borders	ANTH
93	ANTH 25305	Anthropology of Food and Cuisine	ANTH
94	ANTH 25440	Maverick Markets:  Cultural Economy and Cultural Finance	ANTH
95	ANTH 25457	Topics in Contemporary Critical Theory I	ANTH
96	ANTH 25458	Topics in Contemporary Critical Theory II	ANTH
97	ANTH 25459	Topics in Contemporary Critical Theory III	ANTH
98	ANTH 25720	Ethnographic Writing: Practices of Research and Representation	ANTH
99	ANTH 25777	Aging and the Life Course: An Intersectional Perspective	ANTH
100	ANTH 25810	Social Problems, Social Policy, and Social Change	ANTH
101	ANTH 25906	Shamans and Oral Poets of Central Asia	ANTH
102	ANTH 25908	Balkan Folklore	ANTH
103	ANTH 25945	Settler Colonialism: From the US to Palestine	ANTH
104	ANTH 26011	Intro to Archaeology: Thinking like an Archaeologist	ANTH
105	ANTH 26040	Archaeological Field Methods: Monuments, Memory, and the Chicago Landscape	ANTH
106	ANTH 26043	The Aesthetics of Artificial Intelligence	ANTH
107	ANTH 26200	Ceramic Analysis in Archaeology	ANTH
108	ANTH 26330	Making the Maya World	ANTH
109	ANTH 26368	Environmental Transitions and Unnatural Histories	ANTH
110	ANTH 26455	Empires and Colonies of the Atlantic World	ANTH
111	ANTH 26612	Field Archaeology	ANTH
112	ANTH 26701	Capitalism and the State	ANTH
113	ANTH 26710-26711	Ancient Landscapes I-II	ANTH
114	ANTH 26710	Ancient Landscapes I	ANTH
115	ANTH 26711	Ancient Landscapes II	ANTH
116	ANTH 26765	Archaeology of Anyang:  Bronzes, Inscriptions, and World Heritage	ANTH
117	ANTH 26900	Archaeological Data Sets	ANTH
118	ANTH 26910	Introduction to Linguistic Anthropology	ANTH
119	ANTH 27001	Intro To Linguistics-1	ANTH
120	ANTH 27010	"It's Not What You Say, It's How You Say It"": Introduction to Linguistic Anthropology"	ANTH
121	ANTH 27032	Bodies, Objects, Cognition	ANTH
122	ANTH 27116	Language and Migration: Individual, Social and Institutional Perspectives	ANTH
123	ANTH 27170	Verbal Art	ANTH
124	ANTH 27216	Linguistic Anthropology of Education	ANTH
125	ANTH 27445	"Whose Hybridity?: ""Mixing"" Language, Race, and Identity"	ANTH
126	ANTH 27511	Writing Space, Ethnographically	ANTH
127	ANTH 27910	Virtual Ethnography: Encounters in Mediation	ANTH
128	ANTH 28110	Human Origins: Milestones in Human Evolution and the Fossil Record	ANTH
129	ANTH 28400	Bioarchaeology and Forensic Anthropology: Approaches to the Past	ANTH
130	ANTH 29003	Islam Beyond the Human: Spirits, Demons, Devils, and Ghosts	ANTH
131	ANTH 29900	Preparation of Bachelor's Essay	ANTH
132	ANTH 29910	Bachelor's Essay Seminar	ANTH
133	ANTH 29920	BA Honors Seminar II	ANTH
134	ARCH 10336	Researching Chicago's Historic Parks and Neighborhoods	ARCH
135	ARCH 10701	Sound and the Built Environment	ARCH
136	ARCH 11800	Physics and Contemporary Architecture	ARCH
137	ARCH 14146	London vs	ARCH
138	ARCH 14201	In and Out: Supply and Waste in 21st Century Dwelling	ARCH
139	ARCH 15706	Skills & Processes for Architecture and Urban Design	ARCH
140	ARCH 16911	Modeling Contemporary Japanese Architecture	ARCH
141	ARCH 17721	Groundwork: Infrastructure, Aesthetics, and the Built Environment	ARCH
142	ARCH 17761	Latest Experiments in Architectural History	ARCH
143	ARCH 17915	Women's Work	ARCH
144	ARCH 20000	Understanding the Built Environment	ARCH
145	ARCH 20150	Sustainable Urban Development	ARCH
146	ARCH 20160	Cities on Screen	ARCH
147	ARCH 20170	Pandemics, Urban Space, and Public Life	ARCH
148	ARCH 20180	Writing the City	ARCH
149	ARCH 20200	Urban Dramas: Theater, Performance and the City	ARCH
150	ARCH 20252	Urban Innovation: Cultural Place Making and Scenescapes	ARCH
151	ARCH 20506	Cities, Space, Power: Introduction to urban social science	ARCH
152	ARCH 20521	Sociology of urban planning: cities, territories, environments	ARCH
153	ARCH 20685	Material Narratives	ARCH
154	ARCH 20692	Armenian History through Art and Culture	ARCH
155	ARCH 20704	Traveling Studio: From Detail to City at Taliesin	ARCH
156	ARCH 21300	(Re)Branding the Balkan City: Comtemp	ARCH
157	ARCH 22105	Sex and Gender in The City	ARCH
158	ARCH 22211	Riding about the South Side	ARCH
159	ARCH 22322	Sensing the Anthropocene	ARCH
160	ARCH 23011	The Japanese House Question	ARCH
161	ARCH 23210	Urban Core in Paris	ARCH
162	ARCH 23401	Revision, Expression & Portfolio Design	ARCH
163	ARCH 23517	Introduction to Critical Spatial Media: Visualizing Urban, Environmental, and Planetary Change	ARCH
164	ARCH 23835	Social Theory of the City	ARCH
165	ARCH 24190	Imagining Chicago's Common Buildings	ARCH
166	ARCH 24191	City Imagined, City Observed	ARCH
167	ARCH 24196	Second Nature: New Models for the Chicago Park District	ARCH
168	ARCH 24199	The Life of Buildings	ARCH
169	ARCH 24220	Anxious Spaces	ARCH
170	ARCH 24270	Children & Architecture	ARCH
171	ARCH 24651	Latest Experiments in Architectural History	ARCH
172	ARCH 24660	Urban Geography	ARCH
173	ARCH 25119	Architecture and Colonialism in Algeria, Morocco, and Tunisia	ARCH
174	ARCH 26005	Cities by Design	ARCH
175	ARCH 26008	Historic Preservation Studio	ARCH
176	ARCH 26075	South Asian Sensoriums	ARCH
177	ARCH 26100	Roots of the Modern American City	ARCH
